filename,source_file,is_synthetic,status,motor,propeller,condition,condition_desc
H001.wav,H001,False,Healthy,MH2,PR,1,Stable RPM
H109.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H110.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H111.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H112.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H113.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H114.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H115.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H116.wav,H001,True,Healthy,MH2,PR,1,Stable RPM
H002.wav,H002,False,Healthy,MH2,PR,2,Low-High RPM
H117.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H118.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H119.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H120.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H121.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H122.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H123.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H124.wav,H002,True,Healthy,MH2,PR,2,Low-High RPM
H003.wav,H003,False,Healthy,MH2,PR,3,High-Low RPM
H125.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H126.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H127.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H128.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H129.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H130.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H131.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H132.wav,H003,True,Healthy,MH2,PR,3,High-Low RPM
H004.wav,H004,False,Healthy,MH2,PR,4,Low-High-Low RPM
H133.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H134.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H135.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H136.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H137.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H138.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H139.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H140.wav,H004,True,Healthy,MH2,PR,4,Low-High-Low RPM
H005.wav,H005,False,Healthy,MH2,PR,5,Change in RPM with change in pitch
H141.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H142.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H143.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H144.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H145.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H146.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H147.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H148.wav,H005,True,Healthy,MH2,PR,5,Change in RPM with change in pitch
H006.wav,H006,False,Healthy,MH2,PR,6,Turn Left
H149.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H150.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H151.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H152.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H153.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H154.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H155.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H156.wav,H006,True,Healthy,MH2,PR,6,Turn Left
H007.wav,H007,False,Healthy,MH2,PR,7,Turn Right
H157.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H158.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H159.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H160.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H161.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H162.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H163.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H164.wav,H007,True,Healthy,MH2,PR,7,Turn Right
H008.wav,H008,False,Healthy,MH2,PR,8,Pitch Right
H165.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H166.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H167.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H168.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H169.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H170.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H171.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H172.wav,H008,True,Healthy,MH2,PR,8,Pitch Right
H009.wav,H009,False,Healthy,MH2,PR,9,Pitch Left
H173.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H174.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H175.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H176.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H177.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H178.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H179.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H180.wav,H009,True,Healthy,MH2,PR,9,Pitch Left
H010.wav,H010,False,Healthy,MH4,PR,1,Stable RPM
H181.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H182.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H183.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H184.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H185.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H186.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H187.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H188.wav,H010,True,Healthy,MH4,PR,1,Stable RPM
H011.wav,H011,False,Healthy,MH4,PR,2,Low-High RPM
H189.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H190.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H191.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H192.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H193.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H194.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H195.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H196.wav,H011,True,Healthy,MH4,PR,2,Low-High RPM
H012.wav,H012,False,Healthy,MH4,PR,3,High-Low RPM
H197.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
H198.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
H199.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
H200.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
H201.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
H202.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
H203.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
H204.wav,H012,True,Healthy,MH4,PR,3,High-Low RPM
